Designator,Mid X,Mid Y,Rotation,Layer
K1,39.6188,63.3563,0.0,top
D1,48.8988,80.3511,-90.0,bottom
R4,37.1988,72.7911,90.0,bottom
R1,27.1988,72.7911,90.0,bottom
D4,40.2188,80.3511,-90.0,bottom
RV1,19.5988,76.7011,180.0,bottom
RV2,-6.6012,77.9011,180.0,bottom
R3,33.8988,72.7911,90.0,bottom
U1,-2.5012,73.4011,-90.0,bottom
C2,16.5988,65.8011,90.0,bottom
D2,45.9988,80.3111,-90.0,bottom
C1,-27.7486,71.1011,180.0,bottom
D6,10.0988,76.7011,180.0,bottom
R2,30.4988,72.7911,90.0,bottom
D5,10.1088,79.2011,180.0,bottom
J1,-31.4762,79.8011,-90.0,bottom
D3,43.2188,80.2511,-90.0,bottom
U2,-22.2012,73.4011,-90.0,bottom
